Key Prefix,Object Type,Notes
0Ha,SandOmInfo,
0Hb,PackageSubscriber,
0Hc,ProfileTabSetConfiguration,
0Hd,TestSuiteMembership,
0He,CaptchaKey,
0Hf,PackageInstallRequest,
0Hg,SandstormWhitelist,
0Hh,ServiceTerritory,
0Hi,AppIpRange,
0Hj,AppManifestVersion,
0Hk,ConnectivityDevConfig,
0Hl,ConnectivityAttributes,
0Hn,ServiceResource,
0Ho,Package2,
0Hp,SandOmImportInfoDetail,
0Hq,SandOmInfoDetail,
0Hr,AssistantRecommendationType,
0Hs,UserProvisioningLog,
0Ht,SandOmImportInfo,
0Hu,ServiceTerritoryMember,
0Hv,ServiceResourceSkill,
0Hw,ResourceAbsence,
0Hx,SkillRequirement,
0Hy,ServiceResourceCapacity,
0Hz,ExperimentRequest,
0I0,FeedLike,
0I1,DbLockUsage,
0I2,SiteAsset,
0I3,SiteComponent,
0I4,Domain,
0I5,CollaborationGroupMemberRequest,
0I6,OpportunitySharingRuleFilterItem,
0I7,CaseSharingRuleFilterItem,
0I8,ContactSharingRuleFilterItem,
0I9,ReportObjectFilterItem,
0IA,KnowledgeLanguageConfig,
0IB,DashboardFilter,
0IC,DashboardFilterItem,
0ID,DashboardFilterRepCol,
0IF,PushTopic,
0IG,MobileDeviceRegistrar,
0II,FeedCrossReference,
0IO,BrandingValue,
0IS,ApexComponentAttribute,
0IT,GridforceJob,
0IU,HadoopJob,
0IV,LogSearch,
0IW,MobileApplicationDetail,
0IX,FieldSet,
0IY,FieldSetItem,
0IZ,JiffyTrace,
0Ia,CustomEntityTruncateInfo,
0Ib,MatchingInformation,
0Ic,LimitSnapshot,
0Id,NetworkModeration,
0Ie,SupervisorAgentConfigSkill,
0If,LiveChatButtonSkill,
0Ig,LiveChatTranscriptSkill,
0Ih,ServiceDeskComponent,
0Ii,PushProfileMapping,
0Ij,PushIntent,
0Ik,Module,
0Il,ScrutinyPkChunkData,
0In,PhoenixDataSync,
0Io,RawEmail,
0Iq,ObjectTerritory2AssignmentRuleItem,
0Ir,ObjectTerritory2AssignmentRule,
0It,WaveDataConnector,
0Iu,WaveBaseDataset,
0Iv,WaveBaseField,
0Iw,RecommendationMetric,
0Iy,SplitFrameworkResult,
0Iz,PackageDependency,
0J0,SetupEntityAccess,
0J1,EnvironmentHubMember,
0J2,Personalization,
0J3,EnvironmentHubMemberRel,
0J4,SPSamlAttributes,
0J5,PredictiveModel,
0J6,NetworkActivityAudit,
0J7,EnvironmentHub,
0J8,ServiceDeskHotkey,
0J9,ForecastingQuota,
0JB,ObjectTerritory2Association,
0JD,MatchingRule,
0JE,MatchingRuleItem,
0JF,NotifDeliveryUserPref,
0JJ,MatchIndexValue,
0JK,MatchIndexDefinition,
0JL,ServiceDeskCustomStyling,
0JM,OauthTokenLocal,
0JO,SearchActivity,
0JP,RecordOrigin,
0JR,PendingServiceRouting,
0JS,JigsawSavedSearch,
0JT,JobTracker,
0JU,UserListViewCriterion,
0JV,PlatformAction,
0JW,SetupNode,
0JX,SurveyDefaultConfig,/SetupCustomNode
0JY,MacroAction,
0JZ,Macro,
0Ja,ReadOnlyOauthToken,
0Jb,ReadOnlyOauthTokenScope,
0Jc,ForecastingShare,
0Jd,ForecastingCategoryMapping,
0Je,UserProvisioningConfig,
0Jf,DomainSite,
0Jg,ForecastingTypeToCategory,
0Ji,MacroInstruction,
0Jj,CopySuspension,
0Jk,ReadOnlySecurityToken,
0Jl,ReadOnlyLoginIp,
0Jm,ReadOnlyLoginIpEmail,
0Jn,PlatformActionList,
0Jo,PlatformActionListItem,
0Jp,ReadOnlyClientBrowser,
0Jq,SCSInboundSettings,
0Jr,ThirdPartyAccountLink,
0Js,SkinnyIndex,
0Jt,SkinnyIndexColumn,
0Ju,RelationshipInfo,
0Jv,RelationshipDomain,
0Jx,IdentityVerificationEvent,
0Jy,StandardAction,
0Jz,TodayGoal,
0K0,ActionKnowledgeSubmit,
0K2,ActionChatterPost,
0K3,ActionChatterPostRecipient,
0K4,SamplingStrategy,
0K6,SampledEntity,
0K7,StorageConfigAuditTrail,
0K9,QueueRoutingConfig,
0KA,UserConfigTransferSkill,
0KB,UserConfigTransferButton,
0KD,TabDefinition,
0KG,SqlIdToRequestMap,
0KK,CampaignInfluence,
0KM,InstalledSubscriberPackageVersion,
0KO,SecurityHealthCheckRisks,
0KP,PresenceConfigDeclineReason,
0KR,PresenceDeclineReason,
0KT,EdgeMartMetadata,
0KU,Measure,
0KV,Dimension,
0KW,RecordDisplayLookup,
0KX,DimensionMember,
0KY,StandardValueSet,
0KZ,ReportInstanceQuery,
0Ka,SurveyEmailBranding,
0Kb,SyncTransactionLog,
0Kc,SurveyQuestionChoice,
0Kd,Survey,
0Ke,SurveyPage,
0Kf,WaveFeaturedAsset,
0Kg,TwoFactorMethodsInfo,
0Kh,FormulaFunctionCategory,
0Ki,SurveyInvitation,
0Km,CustomAppMetrics,
0Kn,FormulaFunction,
0Ko,GlobalVariable,
0Kp,TwoFactorMethodsInfoLocal,
0Kq,LoginFlow,
0Kr,SurveyQuestionResponse,
0Ks,SurveyVersion,
0Kt,AssociatedLocation,
0Ku,SurveyQuestion,
0Kv,SetupApp,
0Ky,CspFrameAncestor,
0Kz,ResourcePreference,
0L0,XmdDimRecordDisplayLookup,
0L1,VoiceVendorInfo,
0L2,TenantPlatformLicense,
0L3,TenantUserLicense,
0L4,TenantEditionLicense,
0L5,TenantAddOnLicense,
0LC,TenantLicensingRequest,
0LD,RecalcCampaignStats,
0LE,SamlSsoConfig,
0LG,ReportInstance,
0LH,SocialKeyJobLog,
0LI,SocialKeyEntityErrorLog,
0LJ,ModerationRule,
0LM,KeywordList,
0LN,StorageSizeJob,
0LO,SetupAssistantAnswer,
0LP,WaveReplicationFilterItem,
0LQ,VoiceCall,
0LR,WaveTrendedReport,
0LT,DimensionSalesforceAction,
0LV,UserCriteria,
0LY,WaveAnnotationTarget,
0LZ,WaveAnnotation,
0La,DateMetadata,
0Lb,EdgeMartOrganization,
0Lc,LicensedCustomPermission,
0Ld,LicenseDefinition,
0Le,ExternalServiceRegistration,
0Lf,UserFeedChannel,
0Lg,UserSetupAppInfo,
0Lh,ReleasedApexIdentifier,
0Li,AssetTokenEvent,
0Lj,AnalyticActionConfiguration,
0Ll,LoginEventStream,
0Lm,NavigationLinkSet,
0Ln,ReleasedApexIdentifierOption,
0Lo,AutoActivityCaptureMetrics,
0Lq,EmbeddedServiceDetail,
0Ls,AvroSchema,
0Lu,ProductTransfer,
0Lw,BrandingSet,
0Lx,AIModel,
0Ly,BrandingSetProperty,
0Lz,LearningLinkProgress,
0M0,FlexiPage,
0M1,SocialUserAuth,
0M2,FlexiPageRegion,
0M3,SocialKeyParentRecord,
0M4,SocialKeyPersonaRecord,
0M5,Territory2Type,
0M6,StreamingChannel,
0M9,SandboxObserver,
0MA,Territory2Model,
0MD,SearchPromotionRule,
0ME,SessionLevelPolicy,
0MF,SynonymDictionary,
0MH,TransitionMessage,
0MI,Territory2,
0MJ,SystemStreamingChannel,
0MK,XCleanMatchRateMetrics,
0ML,CustomNotificationType,
0MM,WaveNotificationConfig,
0MN,LayoutSectionState,
0MO,AppNotifTypeOrgSetting,
0MP,WaveTemplateDetails,
0MQ,UserCustomBadge,
0MR,MetricsDataFile,
0MT,ContentOrgMetrics,
0MU,ReleasedEntityState,
0MV,UserFavorite,
0MW,BuffaloOrgEstimate,
0MY,ChatterExtension,
0MZ,SourceMember,
0Ma,SandboxObserver2,
0Mb,ChatterExtensionInstance,
0Me,OrchestrationContext,
0Mf,FieldServiceMobileSettings,
0Mg,AppExtension,
0Mh,ConsumptionSchedule,
0Mi,NavigationMenuItem,
0Mj,MessagingChannel,
0Mk,WindowsPushApplicationSetup,
0Mm,MessagingLink,
0Mn,OrchestrationContextEvent,
0Mo,ConsumptionRate,
0Mp,FeedEntityRead,
0Mq,ProductConsumptionSchedule,
0Ms,FeedRead,
0Mt,BuffaloMigrationEvent,
0Mu,BuffaloMigrationManagement,
0Mw,MessagingSession,
0My,SurveyResponse,
0Mz,DomainProvision,
0N0,UserMembershipSharingRule,
0N1,UserCriteriaSharingRule,
0N2,UserShare,
0N3,UserSharingRuleFilterItem,
0N4,RuleTerritory2Association,
0N5,ServicePresenceStatus,
0N9,ServiceChannel,
0NB,SecureAgent,
0NC,ServiceChannelStatus,
0ND,SecureAgentPlugin,
0NE,SecureAgentPluginProperty,
0NF,ReportCustomDetailField,
0NI,TransactionSecurityPolicy,
0NK,S2XAdminError,
0NL,StandardReportType,
0NM,SearchQuerySuggestion,
0NN,PostArchivalDeletionRequest,
0NQ,TransactionSecurityAction,
0NR,TransactionSecurityActionEvent,
0NU,ReputationLevel,
0NV,ReputationPointsRule,
0NW,SOSDeployment,
0NX,SOSSession,SOS video calls
0NZ,SOSSessionActivity,
0Na,UserListView,
0Nb,LinkState,
0Nc,LinkStateData,
0Nd,PresenceUserConfig,
0Ne,PresenceUserConfigUser,
0Nf,PresenceUserConfigProfile,
0Ng,CleanInfo,
0Nh,CleanActivityLog,
0Ni,UserProvAccount,
0Nj,CleanEntityError,
0Nk,WaveTemplate,
0Nl,WaveTemplateExternalData,
0Nm,WaveTemplateValues,
0Nn,Xmd,
0No,LiveChatBlockingRule,
0Np,XCleanBulkJob,
0Nq,XmdMeasure,
0Nr,XmdDimension,
0Ns,XmdDimensionMember,
0Nt,SharedPicklistDefinition,
0Nu,XmdDate,
0Nv,EntityParticle,
0Nw,UserAppMenuCustomization,
0Nx,XmdDimSalesforceAction,
0Ny,XmdOrganization,
0O0,XinstanceInfo,
0O1,TwoFactorU2F,
0O4,WaveExternalConnProperty,
0O5,XmdDimensionCustomAction,
0O6,FieldMappingField,
0O7,FieldMappingRow,
0O8,FieldMapping,
0OB,Shipment,
0OC,TransactionSecurityCondition,
0OD,InteractionCountReport,
0OE,SubscriberTabSetMember,
0OF,FlexipageComponentMetrics,BulkDedupeJob
0OG,BaseEventInterface,DuplicateRuleJob
0OH,OperatingHours,
0OI,MatchingRuleJob,
0OK,ReleasedApexClassRel,
0OL,OrgLifecycleNotification,
0OO,ProcessInstanceNode,
0OP,VisualforceAccessMetrics,
0OV,NetworkAffinity,
0OZ,WaveCompatibilityCheckItem,
0Oa,ComponentResponseCache,
0Ob,ChatterExtensionConfig,
0Oe,DashboardComponentColumn,
0Of,DashboardComponentResult,
0Oi,CaseSubjectParticle,
0Ol,ReportEventStream,TwoFactorU2F
0Om,ScorecardMetric,
0Oq,PendingChangeContainer,
0Or,DatasetExportEvent,
0Ow,ContactPointPhone,
0Ox,VoiceCallRecording,
0P0,FlowVariableAssignment,
0P1,Certificate,
0P2,CertificateIp,
0P5,AacObjectSetting,
0P9,CalendarSharing,
0PA,MessagingEndUser,
0PB,DuplicateJob,
0PC,DuplicateJobMatchingRule,
0PD,CustomPermissionDependency,
0PF,ParallelJobItemData,
0PG,PermissionSetGroup,
0PH,LogoutEventStream,
0PK,Individual,
0PL,PermissionSetLicense,
0PM,PermissionSetGroupComponent,
0PO,DuplicateJobDefinition,
0PP,DuplicateJobMatchingRuleDefinition,
0PQ,ProcessTimeQueue,
0PS,PermissionSet,Permission set metadata
0PX,PushUpgradeExcludedOrg,
0PY,EmbeddedServiceFieldService,
0PZ,MetadataContainerMember,
0Pa,PermissionSetAssignment,
0Pk,ChannelProgram,
0Pl,ChannelProgramLevel,
0Pm,ChannelProgramMember,
0Pp,EinsteinApplication,
0Pp,AIApplication,
0Pq,PredictionConfig,
0Pr,PredictionField,
0Ps,PushBackDefinition,
0Pt,PackageVersionInstallRequestError,
0Pu,PackageVersionUninstallRequestError,
0Pv,BigObjectsRecordMetrics,
0Px,DatasetExport,
0Py,DatasetExportPart,
0Pz,EventTypeDefinition,
0Q0,Quote,Doc
0Q1,OutgoingEmail,
0Q3,OutgoingEmailRelation,
0Q5,UserMetrics,
0Q7,DirectMessageMemberActivity,
0QD,QuoteDocument,
0QH,Form,
0QI,ApiEventStream,
0QJ,FeedSignal,
0QK,PinnedEntity,
0QL,QuoteLineItem,
0QM,MutingPermissionSet,/EinsteinAppAnalytics
0QO,FTestGenInterface,
0QP,FTestGenBodyInterface,
0QR,QuoteTemplateRichTextData,
0QT,MetadataContainerMemberWithSymbolTable,
0QU,ShareInterface,
0QV,MultiCurrency,
0QY,MetadataContainerMemberWithBody,
0QZ,Auditable,
0Qb,EntityEventInterface,
0Qc,ActionQuickCreate,
0Qd,DataExportEventInterface,
0Qf,FormSection,
0Qg,TransactionSecurityEventInterface,
0Qh,FormItem,
0Qi,SoftDeletable,
0Qj,RecordUserAccessInterface,
0Qk,UserNavItem,
0Qm,AIModelDefinition,
0Qn,ScorecardAssociation,
0Qo,ExternalCredential,
0Qp,SandOmBulkExport,
0Qq,AIFilter,
0Qt,VerificationHistory,
0Qu,ReportEvent,
0Qw,AIFilterGroup,
0Qx,AIFilterValue,
0Qy,SecureAgentsCluster,
0Qz,Nameable,
0R0,UserTerritory2Association,
0R1,UserServicePresence,
0R2,UiPlugin,
0R8,PartnerFundAllocation,
0RA,ActivityRelation,
0RB,PartnerFundClaim,
0RC,CollaborationGroupRank,
0RD,RecommendationDefinition,
0RE,EventRelation,
0RH,SandOmExportedBlob,
0RI,LearningAssignment,
0RJ,PartnerFundRequest,
0RL,FlowCategory,
0RM,BigObjectCounter,
0RT,TaskRelation,
0RX,LightningBolt,
0RY,CustomSettingNameIndex,
0RZ,PlinyPhysicalDeleteJob,
0Rb,LightningComponentBundle,
0Rd,LightningComponentResource,
0Rf,LinkedInLeadGenToken,
0Rg,InteractionLCMetrics,
0Rh,TopicDataCategoryRule,
0Ri,LinkedInLeadGenConfig,
0Rl,FlowCategoryItem,
0Rm,WaveAssetVersion,
0Rn,EnhancedLetterhead,
0Rp,LinkedInLeadGenAdAccount,
0Rr,LightningBoltItem,
0Rs,VisibilityChangeNotification,
0Rs,VisibilityUpdateEvent,
0Rt,FolderClosure,
0Ru,LightningBoltImage,
0Rv,LightningBoltFeature,
0Rw,RecordAction,
0Rx,PersonalizedUnswdQuestion,
0S1,LightningExperienceTheme,
0S2,S2XPushSubscription,
0S5,OrchestrationEvent,
0S6,OrchestrationEventField,
0SE,ProfileSkillEndorsement,
0SK,PurchaserPlanAssn,
0SL,ServiceReportLayout,
0SM,ProfileSkillUser,
0SO,AuthProvider,
0SP,SocialPersona,
0SR,SignupRequest,
0ST,SocialPost,
0SU,AqtIncidentDetection,
0SV,ReportInstanceCsvResult,
0SX,RemoteTenantSecretSetting,
0Sa,MetadataContainerMemberWithBinaryBody,
0Sb,PurchaserPlan,
0Se,AdminSetupEvent,
0Sf,CoverageBenefitItem,
0Sg,PlanBenefitItem,
0Si,AIPredictionTarget,
0Sj,AIManagedField,
0Sk,ProfileSkill,
0Sl,ProcessTypeDefinition,
0Sn,ReturnOrderLineItem,
0So,C2CPermissionBinding,
0Sq,MemberPlan,
0Sr,PersonEducation,
0Ss,IdentityDocument,
0Su,QmosEntityDefinition,
0Sy,ActionOverrideMetrics,
0Sz,QmosQueryStatus,
0T0,SetupFlowProgress,
0T1,ManagedContentType,
0T2,AIInsightReason,
0T5,IndividualShare,
0T6,EmailDomainFilter,
0T7,ManagedContentTypeVersion,
0T9,OrchestrationContextDeploy,
0TA,IndividualSharingRuleFilterItem,
0TB,IndividualOwnerSharingRule,
0TC,IndividualCriteriaSharingRule,
0TD,MessagingTemplate,
0TG,ManagedContentSpaceLink,
0TH,ProdDbHammerRequest,
0TI,TopicIndex,
0TJ,EventTypeFieldDefinition,
0TK,ManagedContentNodeType,
0TL,CoverageBenefit,
0TM,PlanBenefit,
0TN,WaveAssetEvent,
0TO,Topic,
0TR,ProductItemTransaction,/CloudConfiguration
0TS,ProductRequest,
0TT,TrialforceTemplate,
0TU,AccountBrand,
0TW,IsvHammerRequestId,
0TY,TopicOntology,
0TZ,OrchestrationContextDataset,
0Tc,QmosQuery1,
0Td,CarePreauth,
0Te,QmosQueryCol1,
0Tg,CarePreauthItem,
0Ti,QmosMatCol1,
0Tj,MetadataComponentDependency,
0Tp,PermissionSetProfileMetrics,
0Ts,ValidationRuleInfo,
0Tt,TopicTerm,
0Tv,BaseSessionInterface,
0Tw,ProductRequestLineItem,
0Tz,ContactRequest,
0U5,LightningUsageByPageMetrics,
0U6,QmosSelCol1,
0UG,OnboardingMetrics,
0UJ,FieldServiceOrgSettings,
0UM,SsoUserMapping,
0UN,EmbeddedServiceLayout,
0UO,EmbeddedServiceLayoutRule,
0UR,EmbeddedServiceCustomComponent,
0US,BotSessionsMetrics,
0UT,TenantUsageEntitlement,
0UV,UserEmailPreferredPerson,
0UW,UserVerificationMessageUse,
0UX,ForgottenToken,
0UZ,WaveAutoInstallRequest,
0Ua,LbpmMetrics,
0Ub,RecordActionHistory,
0Uc,FlowExtensionParam,/FlowLightningComponentParam
0Ud,ContentFolderDistribution,
0Ue,VerificationMessageCreditMetrics,
0Uh,MessagingConfiguration,
0Ui,AIModelMetric,
0Uj,NLPhrase,
0Uk,AIModelFactor,
0Ul,AIFactorComponent,
0Um,CareRequest,
0Un,NLQueryFragment,
0Uq,FlowExtension,/FlowLightningComponent
0Us,CareRequestConfiguration,
0Uu,EmbeddedServiceLabel,
0Uv,PardotTenant,
0Uw,UriEvent,
0Ux,UriEventStream,
0Uy,BaseEventPackageInterface,
0Uz,EngagementEvent,
0V2,PlatformStatusAlertEvent,
0V8,MessagingMetrics,
0V9,LightningExitByPageMetrics,
0VA,RemoteKeyCalloutEvent,
0VB,UserActivityTimelineFilter,
0VC,CareDiagnosis,
0VD,CareRequestDrug,
0VF,OrchestrationContextRuntimeEvent,
0VG,LimitUsageTracker,
0VI,BuffaloStep,
0VK,CareRequestItem,
0VL,ContactPointEntityAssocSnapshotLocator,
0VM,EntityAssociationDefinitionVersion,
0VP,WorkCapacityUsage,
0VQ,WorkCapacityLimit,
0VR,ServiceAppointmentCapacityUsage,
0VS,WorkTypeGroup,
0VX,LoginAsEvent,
0VY,LoginAsEventStream,
0VZ,InteractionUsageMetrics,
0Vi,ContentDocumentListViewMapping,
0Vk,SurveySubject,
0Vl,Accreditation,
0Vo,CareBarrier,
0Vp,PlatformEventConduitMetrics,
0Vs,CareBarrierType,
0Vv,AIModelGraph,
0Vy,MessagingAggregatedMetrics,
0Vz,PlatformActionMetrics,
0W0,WorkThanks,
0W1,WorkBadgeDefinition,
0W2,WorkBadge,
0W3,WorkReward,
0W4,WorkRewardFund,
0W5,WorkAccess,
0W7,WorkPerformanceCycle,
0W8,WorkFeedbackQuestionSet,
0WA,WorkFeedbackQuestion,
0WB,WorkFeedback,
0WC,WorkFeedbackRequest,
0WD,WorkCoaching,
0WE,WorkGoal,
0WF,WorkGoalCollaborator,
0WG,WorkGoalLink,
0WH,WorkRewardFundType,
0WI,Goal,
0WJ,Metric,
0WK,GoalLink,
0WL,WorkFeedbackTemplate,
0WM,MetricDataLink,
0WO,WorkOrder,
0WQ,NetworkLEAPlusDailyLoginMetrics,
0WR,NetworkLEADailyLoginMetrics,
0Wa,QmosMatEntityMeta,
0Wb,QmosInColMap1,
0Wg,RecordActionDeployment,
0Wh,RecordActionSelectableItem,
0Wi,RecordActionDefaultItem,
0Wv,ManagedContentSpaceMember,
0Ww,CareProgramEnrollee,
0Wx,RecordActionDeploymentChannel,
0Wy,B2BCommercePkgProductMetrics,
0Wz,WorkTypeGroupMember,
0X0,SalesforceIqSyncFailure,
0X1,StreamEmail,
0X2,StreamEvent,
0X5,IntegrationAuditingEvent,
0X7,FormsMetrics,
0X8,ListViewEvent,
0XA,NamedCredential,
0XB,ListEmail,
0XC,ExternalDataSource,Data Source forExternal Objects. A.K.A.
0XC,ContentHubRepository,/ExternalDataSource
0XD,ListEmailRecipientSource,
0XE,ListEmailSentResult,
0XF,ListEmailIndividualRecipient,
0XG,ListViewEventStream,
0XH,CustomHttpHeader,
0XI,AppAnalyticsQueryRequest,
0XK,HealthCareProcedure,
0XN,HealthCareDiagnosis,
0XR,SalesforceIqUser,
0XS,SalesforceIqDataSource,
0XT,StreamActivityAccess,
0XU,ExternalDataUserAuth,
0XY,SiqUserBlacklist,
0Xc,PaymentAuthorization,
0Xe,B2BCommercePackageMetrics,
0Xj,AddressableEventInterface,
0Xk,ContentExternalStorage,
0Xl,CommSubscription,
0Xs,SiteIframeWhiteListUrl,
0Xt,PaymentGatewayLog,
0Xv,SourceChangeNotification,
0Xw,AsyncOperationEvent,
0Xy,AEJobTracker,
0Y7,ReportFormattingRule,
0Y8,ReportFormattingRuleValue,
0YD,AsyncOperationStatus,
0YI,ActivityEngagementRollup,
0YL,PlatformEventChannel,
0YM,CareInterventionType,
0YN,NextBestActionUsageMetrics,
0YO,CareDeterminantType,
0YS,BoardCertification,
0YT,InsurancePolicy,
0YW,InsurancePolicyAsset,
0YY,ExecutionPlanTask,
0YZ,PrivacyConsentRow,
0Ya,LoginHistory,
0Ym,SetupAuditTrail,
0Yq,RateLimitIntBuckets,
0Yr,PersonLifeEvent,
0Ys,ParallelJobStatus,
0Yu,IdpEventLog,
0Yv,ReportAnomalyEvent,
0Yw,UserLogin,
0Yx,Producer,
0Yy,InsuranceProfile,
0Z2,ASEMobileConfigUser,
0Z5,Visit,
0Z7,ReportAnomalyEventStore,
0ZA,FileInspectionResult,
0ZB,SharingUserCoverage,
0ZD,SharingCoverageJob,
0ZE,Webstore,
0ZQ,SendEmailActionDefinition,
0ZT,DataUseLegalBasis,
0ZU,DoradoRequestEvent,
0ZW,DataUsePurpose,
0ZX,ContactPointConsent,
0ZY,ContactPointTypeConsent,
0ZZ,InvalidRecordEvent,
0Zb,CareBarrierDeterminant,
0Zd,DatasetFetch,
0Ze,CareProgram,
0Zf,OrchestrationRuntimeEventHv,
0Zg,SurveyQuestionScore,
0Zh,SessionHijackingEvent,
0Zj,SessionHijackingEventStore,
0Zk,Claim,
0Zm,ConditionalFormattingPropertyPredicate,
0Zn,ConditionalFormattingPropertyBin,
0Zo,ConditionalFormattingProperty,
0Zq,AnalyticNotificationTracker,
0Zr,CareProgramTeamMember,
0Zs,CareProgramCampaign,
0Zt,DatasetDarkLaunch,
0Zu,ManagedContentSpace,
0Zx,ForecastingDisplayedFamily,
0Zy,ConversationEntry,
0a0,Shift,
0a2,FlexipagePageTypeMetrics,
0a5,TimeSheetTemplateAssignment,
0aB,EventDestination,
0aC,OrchestrationContextEventField,
0aD,AuraDefinitionChange,
0aJ,ManagedContentSpaceRole,
0aQ,Payment,
0aS,ClaimParticipant,
0aa,PaymentMethod,
0ab,AuraDefinitionBundleInfo,
0ad,AuraDefinitionInfo,
0ae,AIPredictionEvent,
0af,AutoCreationRun,
0al,CommSubscriptionTiming,
0am,AudienceMembership,
0ao,InsurancePolicyParticipant,
0ap,ManagedContentChannel,
0aq,ManagedContentSpaceItem,
0b0,PaymentGateway,
0b1,ComponentInstancePropertyListItem,/ComponentInstancePropListItem
0b3,DialerBasicFeatureMetrics,
0b8,CustomerProperty,
0bF,LearningAssignmentProgress,
0bJ,ManagedContentTypeInfo,
0bK,CareTaxonomy,
0bN,HealthcareProviderNpi,
0bO,HealthcareProviderSpecialty,
0bP,HealthcareProviderTaxonomy,
0bQ,RecordActionRecommendation,
0bR,RecordActionDeploymentContext,
0bS,HealthcarePractitionerFacility,
0bT,DashboardComponentSort,
0bW,InteractionVisibilityRule,
0bX,CareProviderFacilitySpecialty,
0bY,HealthcareFacilityNetwork,
0bZ,LightningSchedulerUsageMetrics,
0bc,CareSpecialty,
0bd,CareProgramProduct,
0be,CareProgramEnrolleeProduct,
0bf,HealthcarePayerNetwork,
0bg,CareProgramEnrollmentCard,
0bh,LightningUriEvent,
0bi,LightningUriEventStream,
0bk,CareProgramEligibilityRule,
0bm,EnrollmentEligibilityCriteria,
0bn,CareProgramGoal,
0bo,CareProgramProvider,
0br,CareRequestExtension,
0bs,Prompt,
0bt,PromptVersion,
0bu,PromptAction,
0bv,AdminSetupEventStream,
0by,FlexipageFieldInstance,
0bz,DialerBasicAudioRecMetrics,
0c0,CustomIndexDefinition,
0c1,CustomIndexFieldDefinition,
0c6,NetworkUserHistoryRecent,
0cC,LoanApplicationFinancial,
0cE,BusinessLicense,
0cF,Award,
0cH,CommerceIntegrationEvent,
0cI,AuthorizationForm,
0cJ,PaymentGatewayProvider,
0cK,AuthorizationFormConsent,
0cM,AuthorizationFormDataUse,
0cN,AuthorizationFormText,
0cP,LoanApplicationProperty,
0cQ,CaseGatewayRequest,
0cS,SurveyResponseUsageMetrics,
0cT,LoanApplicationTitleHolder,
0cU,LoanApplicant,
0cV,LoanApplicantDeclaration,
0cW,PortalDelegablePermissionSet,/PermissionSetPortalDelegate
0cY,InsurancePolicyCoverage,
0ca,ChatterActivity,
0cb,Refund,
0cd,ResidentialLoanApplication,
0ce,CommerceIntegrationResponse,
0cf,CareSystemFieldMapping,
0cg,LoanApplicationAsset,
0ch,LoanApplicationLiability,
0ci,LoanApplicantIncome,
0cj,LoanApplicantAddress,
0ck,LoanApplicantEmployment,
0cl,ProcessCartPricingEvent,
0cm,HealthcareProvider,
0cn,CartPricingResponseEvent,
0cs,OauthConsumerScope,
0cu,ManagedContentSpaceLanguage,
0cv,FlowExecutionEventMetric,
0cw,ManagedContentVersionLanguage,
0cx,StrategyContext,
0d0,CareProviderSearchableField,
0d4,SharingOrgDefaultMetrics,
0d8,B2BCommercePkgOrdersUE,
0dN,CallDisposition,
0dO,CallDispositionCategory,
0dR,RefundLinePayment,
0dU,LensDeveloper,
0dY,CommSubscriptionConsent,
0dd,DocumentChecklistItem,
0dh,WorkerCompCoverageClass,
0dk,AIPredictionExpression,
0dn,RecordMergeHistory,
0do,BusinessMilestone,
0dq,ClaimItem,
0dr,OrgDeleteRequest,
0du,DelegatedAccount,
0dz,PlatformEventEnrichmentField,
0e0,ConsentEvent,
0e1,ProfileClientSettings,
0e2,LoanApplicantAsset,
0e4,FlowExtensionGenericType,
0e5,SharingOrgStandardMetrics,
0e7,OutboundNetworkConnection,
0e8,OutboundNetworkConnProperty,
0eA,FlowExtensionProcessType,
0eB,CommSubscriptionChannelType,
0eC,FlowExecutionErrorEvent,
0eF,EngagementChannelType,
0eH,EnhancedEmailTemplate,
0eK,LoanApplicantLiability,
0eN,DataflowNotification,
0eO,AppleDomainVerification,
0eP,ExecutionPlan,
0eQ,BusinessProfile,
0eS,InvoicePostedEvent,
0eT,MobileEvent,
0eU,AutoTriageMetrics,
0eX,SecuritiesHolding,
0eb,EntityBlacklist,
0el,DocumentChecklistMetrics,
0en,Endorsement,
0eo,CommChannelLayout,
0ep,CommChannelLayoutItem,
0eq,CommChannelLayoutMapping,
0er,SdbStmtIdToSqlIdMap,
0et,CareProviderAdverseAction,
0ex,CareProviderSearchConfig,
0f6,FlowInterviewLogEntry,
0fE,FormulaFunctionAllowedType,
0fL,DataPrepServiceLocator,
0fP,SourceObjectAttributes,
0fR,FormulaVariable,
0fi,CredentialStuffingEvent,
0fj,CredentialStuffingEventStore,
0fr,FeedRecommendationInfo,
0fu,FlowTriggerTypeDefinition,
0fw,LegalEntity,
0fy,FlexipageInfo,
0g0,InvocableActionGenericType,
0g2,UserSetupEntityAccess,
0g3,PageContentAssignment,
0g4,MobileSecurityUserMetric,
0g8,PartyConsent,
0gP,AssetDowntimePeriod,
0gR,RecoveryCopyJob,
0gS,RecoveryFlashback,
0gU,ManagedContentImportExportJob,
0ga,MLDataDefinition,
0gi,InboundNetworkConnection,
0gl,ManagedContentRecordShare,
0gp,InboundNetworkConnProperty,
0gv,CaseArticle,
0hJ,BulkApiResultEventStore,
0hK,RecordsetFilterCriteriaRule,
0hY,ThreatDetectionFeedback,
0hc,HashtagCount,
0hd,HashtagDefinition,
0hn,CallCoachingMediaProvider,
